title,artist,year,date
Abstract,L Henniker,NA,NA
Green Square Abstract,Unknown,NA,NA
Angel with Candelabrum,Unknown,NA,NA
Saucer,Emma Gillies,NA,NA
A Head,Unknown,NA,NA
Study for Composition,Alistair Smart,NA,NA
Untitled,Paul John Croft,NA,NA
Serving Plate,Emma Gillies,NA,NA
Full Length Nude Female,Edith A. Blight,NA,NA
Standing Male Nude,Braso,NA,NA
Portrait of a Young Man,Norman Nisbet,NA,NA
Sitting Nude Woman,Jean B. M. Lothian,NA,NA
Unknown,Duncan Currie,NA,NA
"Architrave and lintel from Collegiate Church of St Gertrude, Nivelles, Belgium",Unknown,NA,NA
Portrait of a Woman in a Hat,Pat Calder,NA,NA
"Untitled - Abstract Orange, Blue, and Brown Shapes",Anthony J Valentine,NA,NA
Portrait of a Woman,Betty M. Ferguson,NA,NA
Untitled,Frea Buckler,NA,NA
Espresso Cup,Emma Gillies,NA,NA
Untitled,Madelene R Galloway,NA,NA
Sixteen Boxes,John Mooney,NA,NA
Twist,Dorothy Black,NA,NA
Portrait of a Man in a Suit,Ian Hodkinson,NA,NA
Extrude,Charlotte Roseberry,NA,NA
Standing Female Nude,C Byron,NA,NA
Unknown,Edith Duke,NA,NA
Abstract with White Paper Strips,Alistair J. Magee,NA,NA
Portrait of a Man,Norman E Kirkpatrick,NA,NA
Portrait of a Man,J Gorman,NA,NA
Abstract,John F. Mooney,NA,NA
Portrait of a Woman,Unknown,NA,NA
Sketch for Final Composition,Colin Brown,NA,NA
Jacobean fragment,Unknown,NA,NA
Portrait of a Man in Spectacles,Richard McNeill,NA,NA
Elders from South Frieze of the Parthenon,NA,NA,NA
Smugglerius,William Pink,NA,NA
Plate,Emma Gillies,NA,NA
Untitled - Woman in Hat with Ribbon,Carolyn S Byres,NA,NA
Abstract Still Life,Lindsay Moran,NA,NA
Seated Female Nude,D Stewart Lowdon,NA,NA
Aphrodite and Eros East Frieze of the Parthenon,NA,NA,NA
Untitled - Man Sitting at the Table Drinking Tea,John C Mark Jones,NA,NA
House and Figures in a Landscape,Judith A. Heller,NA,NA
Taking the Veil,Elspeth Lamb,NA,NA
Untitled,Unknown,NA,NA
Untitled,Kirsty MacDonald,NA,NA
Seated Female Nude,George Hamilton,NA,NA
Portrait of a Woman,John Boyd,NA,NA
Untitled,Andrea Bain,NA,NA
Unknown,Patrick W. Barclay,NA,NA
Untitled,Renny Tait,NA,NA
Angel Playing Pipes,Unknown,NA,NA
Untitled,Ahjae Lim,NA,NA
Unknown,Unknown,NA,NA
Part of petticoat,Unknown,NA,NA
Serving Plate,Emma Gillies,NA,NA
Untitled,Kate McKenzie,NA,NA
Unknown,Fiona Hewitt,NA,NA
Unknown,Unknown,NA,NA
Untitled,Andrew Arnott,NA,NA
Evening Jaipur No.2,Ernest S. Lumsden,NA,NA
March Morning,Peter G. Collins,NA,NA
"Bank of the Amstel, Amsterdam",Marjorie Wallace,NA,NA
Untitled,Fiona Carlisle,NA,NA
Seated Man and Woman,Elizabeth Blackadder,NA,NA
Horse,Emma Gillies,NA,NA
Self portrait,Bridget Steed,NA,NA
Untitled - Leaning Semi-Nude Male,Roselyn M Underwood,NA,NA
Teapot Lid,Emma Gillies,NA,NA
Unknown,W Rennie,NA,NA
Untitled,Kathryn M. Buchan,NA,NA
Portrait of a Woman,Thomas Kim Redpath,NA,NA
Woven fragments,Unknown,NA,NA
Man in Blue Waistcoat,Henry Rodgers,NA,NA
Oscillation Three,Mark Osborne,NA,NA
Untitled,Carol Handyside,NA,NA
Anti-Matter,Marissa Stoffer,NA,NA
Train Station Interior,Eric Urquhart,NA,NA
Finial,Jack Handscombe,NA,NA
Unknown,Douglas Baxter,NA,NA
Placa del Sol,Caroline Conway,NA,NA
Untitled,Richard Easson,NA,NA
Sketches of Five Heads,Denness Morton,NA,NA
Portrait of a Woman,Alexander F Mitchell,NA,NA
Seated Female Nude,George Donald,NA,NA
Untitled,Layla Kerley,NA,NA
Unknown,Dorothea Brown,NA,NA
Untitled - Sitting Nude Woman,Alastair Burns,NA,NA
Untitled,Unknown,NA,NA
Ayrshire christening robe,Unknown,NA,NA
Unknown,Hugh Deans,NA,NA
Untitled - 1/2 hr Life Drawing of Man in a Blue Costume,Isobel T Johnstone,NA,NA
Seated Elderly Couple,John Bellany,NA,NA
Abstract,V. Constant,NA,NA
Unknown,J Hamilton Glass,NA,NA
Drawing of a Seated Woman,Jacqueline A N Stieger,NA,NA
Unknown,Stuart T. MacKenzie,NA,NA
Winged Victory of Samothrace,Musée Royal du Louvre,NA,NA
View of a Street and Market,Marjorie Wallace,NA,NA
Body Print,Paul Duffus,NA,NA
Water Dance,Wilhelmina Barns-Graham CBE HRSA HRSW,NA,NA
19th century handkerchief,Unknown,NA,NA
Unknown,Sarah Setchfield,NA,NA
3 peakcocks all sitting in similar position on tree branch,Lesley M. Johns,NA,NA
Unknown,Peter Coyle,NA,NA
Untitled,Elaine Bay,NA,NA
House in a Landscape,Unknown,NA,NA
"Barges, 1 Jan '63",Geoffrey J Roper,NA,NA
High St. Harlesden,Gordon Bryce,NA,NA
Untitled,Ruth Walker,NA,NA
Seated Male Nude,Ian Short,NA,NA
Untitled,Scott Laverie,NA,NA
La Messe de Minuit - Église St Eustache,Ann F Ward,NA,NA
Portrait of a Standing Woman,Edward Stratton,NA,NA
Zoo 9th May,Lesley M. Johns,NA,NA
Game Birds,George Glen,NA,NA
Unknown,Hugh Deans,NA,NA
Untitled,Unknown,NA,NA
Snow Covered Landscape,Sheila Arnot,NA,NA
Portrait of a Man,Michael Douleny,NA,NA
Bubbie's Bay,Rhoda Rosenburg,NA,NA
Plate,Emma Gillies,NA,NA
Unknown,Unknown,NA,NA
Aerial,Anna Warsop,NA,NA
Untitled - Nude Male and Reflection,Margaret Lothian,NA,NA
Unknown,Lawrence F. Baxter,NA,NA
Unknown,Jacquetta Burn-Callander,NA,NA
Loading Cargo,Gwyneth M. Leech,NA,NA
Seated Male Nude,Mollie Parker,NA,NA
Unknown,Rosemary Bagshaw,NA,NA
Legless Graham,Jennifer Blake,NA,NA
Unknown,Margaret Clyde,NA,NA
Interior Scene,Sigrid Gordon,NA,NA
"Metope 5, south entablature, Parthenon",NA,NA,NA
Portrait of a Young Man,Sheena Page,NA,NA
Standing Female Nude,Eileen Duncan,NA,NA
Portrait of Seated Man in Uniform,Frances Walker,NA,NA
Unknown,Ruth Stiven,NA,NA
Portrait of a Woman,Carole V Danielson,NA,NA
Untitled,Unknown,NA,NA
Untitled - Life Drawing of Reclining Nude Male,Isobel T Johnstone,NA,NA
Untitled,Victoria C F Bernie,NA,NA
Untitled,Unknown,NA,NA
Four Female Heads,Denness Morton,NA,NA
Seated Male Nude,Thomas T Robertson,NA,NA
Seascape from a Boat,Alistair M Park,NA,NA
Untitled,Lisa Flett,NA,NA
Seated Male Nude,Hylda M Sutcliffe,NA,NA
Unknown,Kenneth Dingwall,NA,NA
Untitled,Catherine Fairgrieve,NA,NA
Pattern darned sample,Unknown,NA,NA
Untitled,Richard Easson,NA,NA
Gates of Paradise,Clement Pappi,NA,NA
Untitled,Sarah Robertson,NA,NA
Rosa Regolit,Bridget Steed,NA,NA
Blue Altarpiece,Mollie E N Langlands,NA,NA
Mefisto,Boris Bućan,NA,NA
Untitled - Men and Fishing Nets,Ann F Ward,NA,NA
Untitled,Unknown,NA,NA
Life Drawing,Eugene Corolan,NA,NA
Grey Still Life,Thomas M. B. Watt,NA,NA
Untitled - Abstract Building,Lindsay R S Gordon,NA,NA
Untitled,Deborah Eadie,NA,NA
Untitled,David C Duke,NA,NA
After the Fall of Snow,Hilary A. Fisher,NA,NA
Standing Female Nude,Rosemary Matheson,NA,NA
Arizona,Unknown,NA,NA
Untitled,Unknown,NA,NA
Seated Male Nude,Roy McCallum,NA,NA
Untitled,Robert L Snowden,NA,NA
No 98,John Johnstone,NA,NA
"Commercial Street, Leith",John W. Corner,NA,NA
Composition,Gordon W. Boyd,NA,NA
Plate,Emma Gillies,NA,NA
Untitled,NA,NA,NA
Singer,Paul Rooney,NA,NA
Agricultural Tools,Alexander Curtis,NA,NA
Men Bathing,Trevor Stubley,NA,NA
Untitled,Ian Roy,NA,NA
In the Kitchen,Robert Bushe,NA,NA
Sleeping Female Nude,Alexander F Mitchell,NA,NA
Untitled,Sarah Jamieson,NA,NA
Standing Female Nude,Unknown,NA,NA
Portrait of a Young Man,John D Cowan,NA,NA
Abstract with Blue Stripes,Ian G. Robertson,NA,NA
Bridge at Night,H. Livingstone,NA,NA
Pyreneen Vogel,Frances Ryan,NA,NA
Untitled - Horses and Riders,Jean M. Marshall,NA,NA
The Ideal,Karen Guthrie,NA,NA
Unknown,James C. Y. Gavin,NA,NA
Seated Female Nude,Hillary Lewis,NA,NA
The Thinker,Marko Krsmanovic,NA,NA
Untitled,Ethel V Hope,NA,NA
November III,Wilhelmina Barns-Graham CBE HRSA HRSW,NA,NA
Winter Fence,Alfons Bytautas,NA,NA
untitled,David Hosie,NA,NA
Unknown,Unknown,NA,NA
Whitework baby's bonnet,Unknown,NA,NA
Four Abstract Panels,L Henniker,NA,NA
Abstract Female Nude,William Gillon,NA,NA
For Mayte Carrasco,Elspeth Lamb,NA,NA
"The Beach, Summer Composition",Robert M E Callender,NA,NA
Portrait of Seated Woman,George Donald,NA,NA
Standing Male Nude,David Michie,NA,NA
Head of Lorenzo de' Medici,Aristodemo Costoli,NA,NA
Untitled - Portrait of a Nude Female,Lindsay R S Gordon,NA,NA
The Smile You Put On Everyday,Ruoyan Wang,NA,NA
Green Landscape,Helen Pollock,NA,NA
Portrait of Andrew Gorrie,Joyce M Cumming,NA,NA
Reverse Reserve,Gordon Mitchell,NA,NA
Landscape,Marion M Cooper,NA,NA
Portrait of a Seated Woman,Alexander F Mitchell,NA,NA
Drawing of Dominico Mancini,Dorothy M. Peach,NA,NA
St Pauls at Night,Alexander Cree,NA,NA
Plate,Emma Gillies,NA,NA
Plakati Hrvatskog Narodnog Kazališta Split,Boris Bućan,NA,NA
Still Life with Shadow of Kettle,James H. Fairgrieve,NA,NA
Portrait of Woman with Hand on her Head,Ailsa Robertson,NA,NA
Replica cast,Unknown,NA,NA
Untitled,Robert S. Crozier,NA,NA
Untitled,Helen G. S Forde,NA,NA
Reclining Nude with Jacket,Christine Malcolm,NA,NA
Untitled,Wendy Gunn,NA,NA
Seated Female Nude,Leslie Drummond,NA,NA
Riders from South Frieze of the Parthenon,NA,NA,NA
Untitled,Claire E. Banks,NA,NA
Standing Male Nude,Allan Sutherland,NA,NA
Untitled,Bill Breckervidge,NA,NA
Untitled,Bennett,NA,NA
9 European Cafes: no 5: La Couple,Timothy Morrison,NA,NA
Untitled,Lin Hunter,NA,NA
Untitled,Unknown,NA,NA
Men’s smock,Unknown,NA,NA
1. Meccarama,Anthony Benjamin,NA,NA
Untitled,William G.H. Fulton,NA,NA
Untitled - Semi-Nude Woman Combing Her Hair,Ann F Ward,NA,NA
Riders from South Frieze of the Parthenon,NA,NA,NA
Reclining Male Nude,Adam Robson,NA,NA
Untitled,Sam Rae,NA,NA
Step 2,Maria Hadam,NA,NA
Untitled,Unknown,NA,NA
Gem cabinet 4,Unknown,NA,NA
Untitled,Henry Rodgers,NA,NA
Portrait of a Young Woman,William Hillary,NA,NA
Untitled,Unknown,NA,NA
Acteon,Sarti,NA,NA
Riders from the West Frieze of the Parthenon,NA,NA,NA
"Funerary Statue of Marcellus, nephew of Augustus",Unknown,NA,NA
Unknown,Unknown,NA,NA
Unknown,Maureen Purcell,NA,NA
View of a House,Lynne Coyle,NA,NA
Still Life Fish,Ian J. D. Short,NA,NA
Momen,Tadas Gindrenas,NA,NA
Inner Landscape,Thipel,NA,NA
Untitled,Unknown,NA,NA
Portrait of a Man,B Clapperton,NA,NA
Horses from North Frieze of the Parthenon,NA,NA,NA
Reclining Male Nude,David Ewans,NA,NA
Still Life with Net and Burning Candle,Donald Clark,NA,NA
Play-Areas,Wendy McMurdo,NA,NA
Untitled - Paris cityscape with Two Cranes,Ann F Ward,NA,NA
Portrait of a Woman,David Rifat,NA,NA
Untitled,Esther Donaldson,NA,NA
Ship yard,Helen M. Percy,NA,NA
Unknown,William J. Dungate,NA,NA
Untitled,Ian Baillie,NA,NA
Stairs,Scott Lawrie,NA,NA
Unknown,Unknown,NA,NA
Nude Male and Horse,Leon Francesco Morrocco,NA,NA
Untitled,Alan Bartram,NA,NA
Standing Female Nude,Nita Newman,NA,NA
Portrait of a Man,Elizabeth Blackadder,NA,NA
Portrait of a Woman in a Hat,Edward Stratton,NA,NA
Reclining Female Nude,Gwendolene H. MacKenzie,NA,NA
Portrait of a Woman,Lucy Bowman,NA,NA
Untitled - Portrait of a Woman in a Hat,Patricia M Leighton,NA,NA
Seated Male Nude,George Mackintosh,NA,NA
Norwegian Ponies,Mollie E N Langlands,NA,NA
Untitled,Jodie Pear,NA,NA
Untitled,Unknown,NA,NA
Untitled,James Goodall,NA,NA
Unknown,Rhona L. Barclay,NA,NA
Untitled - Two Boys in Patterned Shirts,Dorothy Black,NA,NA
Portrait of a Woman,Mary Shanks,NA,NA
Unknown,Robin E. Bownass,NA,NA
Portrait of a Woman,V Timmins,NA,NA
That's a Novel Concept,Hannah Jasper,NA,NA
Untitled,Alistair T Hamilton,NA,NA
Untitled,Ruth Stiven,NA,NA
Espresso Saucer,Emma Gillies,NA,NA
The Repairable Flatpack Toaster,Kasey Hou,NA,NA
Untitled - Country Houses and Fields,Helen Wishart,NA,NA
Standing Female Nude,Ruth Wilson,NA,NA
Portrait of a Woman,Helen Wishart,NA,NA
Portrait of a Woman,Ruth Illingworth,NA,NA
Building in a Landscape,Ruth Stirling,NA,NA
Unknown,Jacquetta Burn-Callander,NA,NA
Self Portrait,Marjorie Wallace,NA,NA
Unknown,Betty Elston,NA,NA
Bar at 1732 St Charles,Jonathan Woodham,NA,NA
Untitled,Unknown,NA,NA
Portrait Male,Andrew J. Neil,NA,NA
Unknown,Shand C. Hutchison,NA,NA
Rough study of female seated figure with head tilted back,Jean Cochrane,NA,NA
Untitled,Peter Pretsell,NA,NA
Untitled,Dr Ainslie Yule,NA,NA
Unknown,Unknown,NA,NA
Horses of Helios from East Pediment,NA,NA,NA
Standing Boxer,John Bellany,NA,NA
Untitled,Unknown,NA,NA
Teacup,Emma Gillies,NA,NA
Untitled - Life Drawing of Woman Reclining on a Bed,Isobel T Johnstone,NA,NA
Unknown,Carol Handyside,NA,NA
Memory and Process,Callum Watson,NA,NA
Nude in Veil,Anna Millar,NA,NA
Untitled,Unknown,NA,NA
Untitled,Unknown,NA,NA
Untitled - Print of Dining Table with Window,Ann F Ward,NA,NA
Performing Labour in an Industrial Setting III,Aisling Ward,NA,NA
Untitled,Ian McKenzie Smith,NA,NA
Standing Female Nude,Mollie E N Langlands,NA,NA
Unknown,Linda Hennker,NA,NA
Men in a Rugby Changing Room,Trevor Stubley,NA,NA
Untitled,A. Geraldine Gowan,NA,NA
Portrait of a Woman,Samuel John Peploe,NA,NA
Untitled,Robert Rivers,NA,NA
Thurs 2nd Sept '82 Along from Rialto,Moira A Edmondston,NA,NA
Landscape,Iain West,NA,NA
Unknown,W C G Thomson,NA,NA
Man with Wooden Leg Pulling Cart of Flowers,Peter Standen,NA,NA
Seated Male Nude,Ronald G Browne,NA,NA
Untitled,Greggory Bradford,NA,NA
Untitled - Two Sitting Nude Women,Robert Maclaurin,NA,NA
Brazie,"Eduardo Luigi Paolozzi KBE, RA",NA,NA
Untitled,Helen Pollock,NA,NA
Untitled,David C Duke,NA,NA
Standing Female Nude,Morag Cuthbertson,NA,NA
IV,John Bellany,NA,NA
Three Views of a Standing Male Nude,John Thompson,NA,NA
Untitled,Rachel Hill,NA,NA
Portrait of a Woman,Robert A Campbell,NA,NA
Scaffolding - 'Formasons Stone Renovators Edinburgh',Ian Johnstone,NA,NA
Men in a Rugby Changing Room,Trevor Stubley,NA,NA
untitled,Unknown,NA,NA
Portrait of a Man,George Donald,NA,NA
Grooms and Riders from North Frieze of the Parthenon,NA,NA,NA
Rainman/Air Boys,John Schulz,NA,NA
Nabucco,Boris Bućan,NA,NA
Untitled,R. Euman,NA,NA
Untitled,Joanne Leonie Milne,NA,NA
Untitled,Unknown,NA,NA
Gem cabinet 1,Unknown,NA,NA
Don Juan,Boris Bućan,NA,NA
Untitled,Ruth Walker,NA,NA
Untitled - Abstract Blue and Green Squares,Roger Elliot,NA,NA
Untitled,Douglas Cook,NA,NA
Damn blast and a side order of damn,Colin Montgomery,NA,NA
Untitled,Norma Kirk,NA,NA
Mourner No. 54 from the Tomb of John the fearless,Unknown,NA,NA
Untitled,McArthur,NA,NA
Unknown,Douglas Baxter,NA,NA
Untitled,Joanne Leonie Milne,NA,NA
Unknown,William D Clyne,NA,NA
Portrait of a Man,Renny Tait,NA,NA
Plate,Emma Gillies,NA,NA
Unknown,Unknown,NA,NA
Portrait of a Seated Man,Edith Fraser,NA,NA
Untitled,Susan Pettinger,NA,NA
Untitled,Sera K,NA,NA
Printed Fabric,Robin Jones,NA,NA
Standing Male Nude,Jean Richie,NA,NA
Portrait of a Seated Man,John Gilbert,NA,NA
Unknown,James T. Ferguson,NA,NA
Tottenham Court Road Underground,"Eduardo Luigi Paolozzi KBE, RA",NA,NA
Seated Figure Reading Newspaper,Angus C. A. Hood,NA,NA
Saucer,Emma Gillies,NA,NA
"Circo Togni, Ravenna",Peter McGinn,NA,NA
Seascape,Michael Kinane,NA,NA
Saucer,Emma Gillies,NA,NA
West Coast Seascape,Catherine Orbach,NA,NA
Untitled,Unknown,NA,NA
Unknown,Alejandro B. Brasó,NA,NA
Portrait of a Woman,Martin G C McKeown,NA,NA
John Mooney Paintings,John Mooney,NA,NA
Coffee Pot Lid,Emma Gillies,NA,NA
Female Nude with Pitcher,Samuel John Peploe,NA,NA
Unknown,Gordon Anderson,NA,NA
Still Life - Tomatoes,Thora Clyne,NA,NA
Urban Scene,Paul J Donaldson,NA,NA
Inverleith,Janice McNab,NA,NA
Untitled,Unknown,NA,NA
Portrait of Man in Red Jacket,Michael Docherty,NA,NA
Untitled,Susie Wilson,NA,NA
Unknown,Gillian Mather,NA,NA
Relic of Origins: Wild Boar,Kyle Noble,NA,NA
Unknown,Unknown,NA,NA
Hill Fence,Aitons Bytautus,NA,NA
Portrait of a Man,John Houston,NA,NA
Untitled,J.,NA,NA
Step 3,Maria Hadam,NA,NA
Untitled,Vivian Chapman,NA,NA
Landscape,V Janikowski,NA,NA
Reclining Male Nude,Jean I. Beattie,NA,NA
Banners of the Banned,Elle McKee,NA,NA
The Jungle,John Brown,NA,NA
Untitled,Underwood,NA,NA
Teapot Lid,Emma Gillies,NA,NA
Lit Doorway,C. K.?,NA,NA
Sampler on course slub material,Unknown,NA,NA
Riders: Parthenon Frieze,NA,NA,NA
Unknown,Unknown,NA,NA
Standing Male Nude,M E James,NA,NA
Abstract Composition in Grey with Circle,Linda A. Henniker,NA,NA
Unknown,Alan Lefley,NA,NA
Food Print,Tomoko Kawanaka,NA,NA
Isabella of Aragon,Unknown,NA,NA
Man with Woman Smoking,Kirkland Main,NA,NA
"Metope 10, south entablature, Parthenon",NA,NA,NA
Queen Anne chair cover,Unknown,NA,NA
Performing Labour in an Industrial Setting II,Aisling Ward,NA,NA
Unknown,Ruari MacLeod,NA,NA
Unknown,Hugh Deans,NA,NA
Four Portraits of a Bearded Man,Peter McGinn,NA,NA
Untitled,Rosemary Seaton,NA,NA
Riders from South Frieze of the Parthenon,NA,NA,NA
Curtain,Unknown,NA,NA
Dorothy Allsop sampler,Unknown,NA,NA
Untitled,Joanne Leonie Milne,NA,NA
Unknown,Valerie A. Cockburn (Gage),NA,NA
Unknown,Jean I. Beattie,NA,NA
Portrait of a Young Man,James P W Syme,NA,NA
Flowers Behind the Door,Bernard Reder,NA,NA
Standing Male Nude with Staff,Derek Shiel,NA,NA
Untitled - Abstract Bridge and Ballons,Alastair Burns,NA,NA
Untitled,Unknown,NA,NA
Untitled,David Douglas,NA,NA
Untitled,Laura McPherson,NA,NA
Donkey and Cart in Landscape,Mollie E N Langlands,NA,NA
Suit of Armour,Kirkland Main,NA,NA
The Judgement of Paris,Kenneth Dingwall,NA,NA
Portrait of a Woman,Zygmunt Bukowski,NA,NA
Untitled,Sena K.,NA,NA
Untitled - Kings and Queens,Michael T R B Turnbull,NA,NA
Unknown,Malcolm Clark,NA,NA
"Unknown, abstract",Amy Marshall,NA,NA
Untitled,Leslie Johns,NA,NA
Untitled,Matt Carter,NA,NA
Unknown,Mary D Thomson,NA,NA
Set of NDS slides,Unknown,NA,NA
Riders from the North Frieze of the Parthenon,NA,NA,NA
Frieze from the Temple of Athena Nike,NA,NA,NA
Portrait of a Woman,James Gordon,NA,NA
Harbour,Alistair M Park,NA,NA
Untitled,Susan Veitch,NA,NA
Untitled,Dr Ainslie Yule,NA,NA
An Táin,John B Vallely,NA,NA
Man with Concrete Jungle Record,Garry Campbell,NA,NA
Horse and Cart,Moira E. Brown,NA,NA
Standing Female Nude,Peter Coyle,NA,NA
Gem cabinet 3,Unknown,NA,NA
Untitled,Zillah Green,NA,NA
"Still Life, Oil Paints and Pots",Zygmunt Bukowski,NA,NA
Drawing of a Woman,E McCallum,NA,NA
Untitled,Alison Duncan,NA,NA
Seated Man seen from behind,Peter McGinn,NA,NA
Portrait of a Man,John Johnstone,NA,NA
Landscape,Trevor Stubley,NA,NA
Crazily Paved,John Brown,NA,NA
Walking the Wall,Victoria C F Bernie,NA,NA
Still Life - Fish,Thora Clyne,NA,NA
Castor and Pollux,Sarti,NA,NA
Untitled,Dilys R. Lovell,NA,NA
Patchwork quilt,Unknown,NA,NA
"Rock R Coast, Hethleen Russell, Bournemouth",Kathleen Russell,NA,NA
Unknown,Sheila Turnbull,NA,NA
Untitled,Kirsty MacDonald,NA,NA
Saucer,Emma Gillies,NA,NA
Untitled - City Scene at Night,William Gillon,NA,NA
Untitled - Nude Female Standing,Eleanor Maiden,NA,NA
Swirlings,Dorothy Black,NA,NA
Male Model with Towel,Alexander Cree,NA,NA
Untitled,Molly Harris,NA,NA
untitled,Joyce M Cumming,NA,NA
Swedish apron,Unknown,NA,NA
Still Life Beside Window,Elizabeth Blackadder,NA,NA
Florence,John P Busby,NA,NA
Preparatory Sketch,John Picking,NA,NA
Reclining Female Nude,Mollie E N Langlands,NA,NA
Untitled,Kathleen Russell,NA,NA
Cornfield,Joan Eardley,NA,NA
Garden of Eden,Unknown,NA,NA
Untitled,Anna Chapman,NA,NA
Teacup,Emma Gillies,NA,NA
Untitled,Gillian Curry,NA,NA
Untitled,Nicholas File,NA,NA
Marshal from the West Frieze of the Parthenon,NA,NA,NA
NA,Gavin Robson,NA,NA
Vojna Tajna,Boris Bućan,NA,NA
Unknown,Valerie Samuel,NA,NA
Standing Female Nude,Douglas Kerr,NA,NA
Book holder,Winsome Douglass,NA,NA
Untitled,Unknown,NA,NA
Step 4,Maria Hadam,NA,NA
Portrait of a Woman,Kirkland Main,NA,NA
Processions Banner,Lindy Richardson,NA,NA
"Couplings, Paper bags",Tessa Lynch,NA,NA
Portrait of a Young Man,Joseph Maxwell,NA,NA
Untitled - Two Girls On a Walk,Susan Jane Mowatt,NA,NA
"Still Life with White Lace, Fish and Edinburgh Castle",Marie Waugh,NA,NA
Untitled - Portrait of a Girl in a Hat,Catherine Robin,NA,NA
Rabbit,Emma Gillies,NA,NA
Unknown,Zygmunt Bukowski,NA,NA
Small black figure with long wavy hair,Unknown,NA,NA
Seated Woman,Ann F Ward,NA,NA
Portrait with a Beret,C Stiven,NA,NA
Man and Basket,Alfred Hackney,NA,NA
"Male Nude, possibly Hermes",Unknown,NA,NA
Untitled,Jean M. A. Conacher,NA,NA
Seated Female Nude,William Gillon,NA,NA
Landscape,Donald Clark,NA,NA
Chinese sleeveband.figures,Unknown,NA,NA
Seated Nude Woman,George A. MacPherson,NA,NA
Untitled,Unknown,NA,NA
Running goddess from east pediment of the Parthenon,NA,NA,NA
Untitled,John Bellany,NA,NA
Unknown,McKinnell,NA,NA
Unknown,Unknown,NA,NA
Portrait of a Man,A Sinclair,NA,NA
Kneeling Male Nude,Peter Brady,NA,NA
Orkney Totem,Reinhard Behrens,NA,NA
Seated Female Nude,C Byron,NA,NA
Untitled,Patrick McKenzie Smith,NA,NA
Unknown,Francis Curran,NA,NA
Life Float and Boat,Ashley McCormick,NA,NA
The Misadventure,John Brown,NA,NA
Unknown,Roger Cameron,NA,NA
Untitled,Unknown,NA,NA
Untitled,Unknown,NA,NA
Untitled,S J Dooley,NA,NA
Espresso Cup,Emma Gillies,NA,NA
Still Life with Bols Bottle,Leonard I. H. Gray,NA,NA
Unknown,John Gilbert,NA,NA
Unknown,Unknown,NA,NA
Idyll,Unknown,NA,NA
Giraffe,Emma Gillies,NA,NA
Sailsbury from Witlon Park,Lord John Clerk Eldin,NA,NA
Portrait of Seated Woman Reading,Roy McCallum,NA,NA
Untitled,Anna Richardson,NA,NA
Two Traffic Lights at Blue,Alavte Clad?,NA,NA
Cape May,G.M. L.,NA,NA
Standing Female Nude holding Basket,Barbara Strachan,NA,NA
Figurative Composition in Brown and Blue,Kenneth T. W. Neil,NA,NA
Seated Male Nude,Catherine M Gibson,NA,NA
Sitting Nude Female,Joanna I. Taylor,NA,NA
Still Life Bowls and Bottles,Mollie E N Langlands,NA,NA
Study for Composition - The Long Journey,John Picking,NA,NA
Sunset,Denness Morton,NA,NA
Doric Order,NA,NA,NA
Orange,Unknown,NA,NA
1st State,Euan Gray,NA,NA
Untitled,Robert Rivers,NA,NA
Opera - Vienna,L. Allan,NA,NA
Seated Female Nude,Eric Ritchie,NA,NA
Untitled,Grace Paul,NA,NA
A Red Made For R.M Rilke,Catlin Dalton,NA,NA
Unknown,Jean Selby,NA,NA
Whitework on indian muslin,Unknown,NA,NA
A Puppet of Power,Peter G. Collins,NA,NA
Portrait of a Man,James Robertson,NA,NA
Tray-bearer from North Frieze of the Parthenon,NA,NA,NA
Untitled - Jousting Match,James B. Thomson,NA,NA
Portrait,George Roderick Carmichael,NA,NA
Portrait of an Elderly Woman,Dorothea Brown,NA,NA
My Boots Are Wet from the grass,Becky Campbell,NA,NA
Untitled,Gwen Mackenzie,NA,NA
Apollo Sauroktonos,Unknown,NA,NA
Flight Path No 1,Wilhelmina Barns-Graham CBE HRSA HRSW,NA,NA
Sleep and the City,Norman E Kirkpatrick,NA,NA
Fancy Pipe,Michael Hecht,NA,NA
Unknown,John Nelson,NA,NA
Romeing,Marissa Stoffer,NA,NA
Untitled,Doreen Turner,NA,NA
History of a Medium,"Eduardo Luigi Paolozzi KBE, RA",NA,NA
Woman in Historic Dress,Edward A. Gage,NA,NA
Untitled,Daisy Richardson,NA,NA
Untitled,Paresh C. Chakraborty,NA,NA
Seated Male Nude with Staff,Ian Hodkinson,NA,NA
Replica cast,Unknown,NA,NA
Portrait of a Man,Peter Standen,NA,NA
Valerie,Renny Tait,NA,NA
Frieze from the Temple of Athena Nike,NA,NA,NA
Rockpools,Rosemary Reid,NA,NA
Untitled - Abstracted Plant Forms in Black and White,Janet G Leask,NA,NA
Untitled - The Magi,Monika L I Uecker,NA,NA
Untitled,Cant,NA,NA
Leprosy Capital,Paul J Donaldson,NA,NA
Portrait of Sister,Frances M. Walker,NA,NA
Portrait of a Woman in a Headdress,Adam Bruce Thomson,NA,NA
Saucer,Emma Gillies,NA,NA
Unknown,Anne Anderson,NA,NA
Untitled - Reclining Nude Female,James McGlade,NA,NA
Mannequin,Anna Millar,NA,NA
Still Life with Fish,Jean M. A. Conacher,NA,NA
Standing Male Nude,Unknown,NA,NA
Unknown,Alan J Mcleod,NA,NA
Seated Male Nude,Kathleen M D Mole,NA,NA
