title,artist,year,date
Abstract Composition,James T Carlyle,NA,NA
Untitled - City Highrise,William Gillon,NA,NA
Unknown,Alistair Fairweather,NA,NA
Obstacle - Exploded Drawing,Charles Myatt,NA,NA
Tomb,Susan Robson,NA,NA
South Frieze of the Parthenon Frieze,NA,NA,NA
Pylons in the Landscape,Allison E Sharpe,NA,NA
Milk Jug,Emma Gillies,NA,NA
Still Life with Teapot,Bull,NA,NA
Seated Male Nude,Violet Thompson,NA,NA
Standing Male Nude,Adam Robson,NA,NA
"Tomb of Ferry de Gros, Lord of Dyeghem Nieunland",Unknown,NA,NA
Portrait of a Woman,Edith Duke,NA,NA
Untitled,Unknown,NA,NA
Untitled,Gabor Peterdi,NA,NA
Seated Male Nude with Foot Resting on Stool,Plehakraborty,NA,NA
Hibernation,Alastair Mack,NA,NA
Unknown,Alexander Cree,NA,NA
Reclining Male Nude,Ballantyne,NA,NA
Seated Female Nude,W Bryden,NA,NA
Abstract Composition with Fabric Collage,Caroline E. L. Wilkinson,NA,NA
Untitled,Victoria C F Bernie,NA,NA
Drawing of Monaghan,Edith Duke,NA,NA
Toledo,Alastair Flattely,NA,NA
Untitled,Unknown,NA,NA
Unknown,Katherine B K Burns,NA,NA
Standing Male Nude,Gwen Reilly,NA,NA
Portrait of a Bearded Man,Marjory Dickson,NA,NA
Still Life with Green Boots and Knotted Rope,Sheila Arnot,NA,NA
Untitled,Hugh Tuckerman,NA,NA
Unknown,Audry Redpath,NA,NA
Swirl V,Fionna Buck,NA,NA
Reclining Female Nude,Iain West,NA,NA
Inscription Panel from Trajan's Column,Unknown,NA,NA
Landscape,James P W Syme,NA,NA
Reclining Female Nude,Llewella Brayne,NA,NA
Standing Female Nude,Walter Miller,NA,NA
Untitled,Unknown,NA,NA
Saucer,Emma Gillies,NA,NA
Untitled,Unknown,NA,NA
Untitled,Maureen Purcell,NA,NA
Portrait of Standing Woman wearing Overalls,Denness Morton,NA,NA
Untitled - Portrait of a Reading Woman,William Gillon,NA,NA
Portrait of a Woman,James Cumming,NA,NA
Untitled,Christine Watson,NA,NA
Standing Male Nude Leaning on Plinth,James C. Y. Gavin,NA,NA
Standing Male Nude,Lys Hansen,NA,NA
Untitled,Rosemary Hamblin,NA,NA
Untitled,Kirkland Main,NA,NA
Udder Hand,Eden Hawkins,NA,NA
Untitled,Sabine R,NA,NA
Untitled,Moira Johnson,NA,NA
Standing Male Nude,Heather Measham,NA,NA
Two Seated Women and One Standing Woman,Douglas Gordon,NA,NA
Unknown,Unknown,NA,NA
Untitled,John Nelson,NA,NA
1st State,Euan Gray,NA,NA
Untitled,James Howden,NA,NA
Unknown,Peter G. Collins,NA,NA
Riders from the West Frieze of the Parthenon,NA,NA,NA
Standing Man with Scythe,John Houston,NA,NA
Untitled,NA,NA,NA
Riders from West Frieze of the Parthenon,NA,NA,NA
Unknown,Unknown,NA,NA
Saucer,Emma Gillies,NA,NA
Spinario,Musée Royal du Louvre,NA,NA
Riders from South Frieze of the Parthenon,NA,NA,NA
Untitled,John Nichol,NA,NA
"Commercial Street, Leith",John W. Corner,NA,NA
Untited,Paul Furneaux,NA,NA
Untitled,Dorothy M. Peach,NA,NA
Standing Male Nude,John Houston,NA,NA
Ship in the Dockyard,Caroline Boyle,NA,NA
Unknown,Cameron,NA,NA
The Boundary of Balance,Dong Ding,NA,NA
Still Life with Goblets,Alan M. Alexander,NA,NA
Untitled,Maureen Dawson,NA,NA
Blue Waterfall,Andrew Mackenzie,NA,NA
Portrait of a Man,Lawrence F. Baxter,NA,NA
Coffee Pot,Emma Gillies,NA,NA
Standing Male Nude,Kenneth Dingwall,NA,NA
Needle lace mat,Unknown,NA,NA
Untitled,Michael Jannarelli,NA,NA
Untitled,Unknown,NA,NA
Untitled,Unknown,NA,NA
Unknown,Francis Curran,NA,NA
Small Landscape,Dorothy M. Peach,NA,NA
Landscape,Robin Forrester,NA,NA
Seated Female Nude,Elizabeth Blackadder,NA,NA
Unknown,Unknown,NA,NA
Unknown,Laura McPherson,NA,NA
Blackwork' sampler. Miss Waddel,Miss Waddell,NA,NA
Bloomers,Unknown,NA,NA
Woman in a Blue Background,Ian Paterson,NA,NA
Untitled - Sprite in Long Gown,Iona Murray,NA,NA
Unknown,Rosemary Bagshaw,NA,NA
Four way / Exchange Portfolio,Unknown,NA,NA
Standing Male Nude,John P Busby,NA,NA
Champagne,Robert I Montgomery,NA,NA
Standing Male Nude,John Hunter,NA,NA
Seated Male Nude,John Houston,NA,NA
Grey Cover,Unknown,NA,NA
Portrait of a Man,Kenneth Dingwall,NA,NA
Portrait of Standing Woman seen from behind,Jacqueline A N Stieger,NA,NA
Standing Male Nude,M McKeown,NA,NA
Unknown,Alan M. Alexander,NA,NA
Face Value,Annette Kierulf,NA,NA
Unknown,Alan M. Alexander,NA,NA
Unknown,Alexander S Campbell,NA,NA
Standing Female Nude,Margaret Proudfoot,NA,NA
Saucer,Emma Gillies,NA,NA
From Rialto Venezia,Marjorie Wallace,NA,NA
Venice,Sax Shaw,NA,NA
Unknown,Andrew P. W. Conkie,NA,NA
Hyde Park,Unknown,NA,NA
Portrait of a Man,John O'Neill,NA,NA
Unknown,Unknown,NA,NA
Portrait of a Man,James Wilson,NA,NA
Untitled,Unknown,NA,NA
Fish in a Whirlpool,Hans Jelinek,NA,NA
Unknown,Alistair Fairweather,NA,NA
South Frieze of the Parthenon Frieze,NA,NA,NA
Man with Spring Plants,Leonard Baskin,NA,NA
Homage to Ernest Hemingway,Michael Docherty,NA,NA
Untitled - Portrait of a Girl,L. Allan,NA,NA
Espresso Saucer,Emma Gillies,NA,NA
Seated Young Male Nude,Victorine Anne Schilsky,NA,NA
Gem cabinet 5,Unknown,NA,NA
Untitled,NA,NA,NA
Virgin and Child,Unknown,NA,NA
Vilnius Academy of Fine Arts,Unknown,NA,NA
Unknown,Elizabeth Blackadder,NA,NA
Untitled - Street Scene,Frederick C White,NA,NA
Untitled,Sharon Cornwill,NA,NA
Embroidered panel,Winsome Douglass,NA,NA
Landscape,Arlene Isbister,NA,NA
Seated Female Nude,Laura Nye,NA,NA
Untitled,Siri Gossman,NA,NA
Unknown,Maurice Chamberlain,NA,NA
Untitled,Anne Waterhouse,NA,NA
Unknown,Betty Elston,NA,NA
Untitled - Figure Drawing of A Woman Sitting on the Side of a Chair,Gordon Bryce,NA,NA
Teacup,Emma Gillies,NA,NA
Coupar,Unknown,NA,NA
Seated Man in Traditional Dress,Barreton,NA,NA
Beginning,Unknown,NA,NA
Portrait of a Man,Jean I. Beattie,NA,NA
Untitled,S J Dooley,NA,NA
Untitled,Donald Clark,NA,NA
Shell-Shapes,Dorothy Black,NA,NA
Espresso Saucer,Emma Gillies,NA,NA
Lucius Junius Brutus,NA,NA,NA
Woman,James H. Fairgrieve,NA,NA
Portrait of a Woman,Colin Turner,NA,NA
Untitled,Sylvia Cameron,NA,NA
Standing Woman,William Gillon,NA,NA
Figures and Sunshine,Leon Francesco Morrocco,NA,NA
Untitled - Portrait of a Man,Alistair Bell,NA,NA
Archway,Louise Allardyce,NA,NA
Untitled,Unknown,NA,NA
Reclining Female Nude,Mary Edmond,NA,NA
Untitled,Vikki Hill,NA,NA
Trafalgar Square,Unknown,NA,NA
Saucer,Emma Gillies,NA,NA
Unknown,Marjorie Wallace,NA,NA
North Berwick from Belhaven Bay,Catherine Orbach,NA,NA
Untitled,Rob Hunter,NA,NA
Untitled,Unknown,NA,NA
Seated Nude Woman,James P W Syme,NA,NA
Unknown,Brent D. Millar,NA,NA
Unknown,Alan M. Alexander,NA,NA
Teacup,Emma Gillies,NA,NA
Untitled,Annabel Keatley,NA,NA
Wall hanging,Unknown,NA,NA
"Metope 3, south entablature, Parthenon",NA,NA,NA
Anat,Norman Orr,NA,NA
November Afternoon,Gwyneth M. Leech,NA,NA
Two Figures in a Landscape,Unknown,NA,NA
Stately Dance,Allan W. Robson,NA,NA
"Unknown, Abstract",Paresh Chandra Chakraborty,NA,NA
Portrait of a Young Man,Joseph Maxwell,NA,NA
Standing Male Nude,Walter Miller,NA,NA
Seated Female Nude,Alistair W McCheyne,NA,NA
Female Nude Seated on a Chair,Margaret Ronald,NA,NA
Untitled,J Nicoll,NA,NA
Standing Male Nude,James Martin,NA,NA
Unknown,Alan Lefley,NA,NA
Untitled - Figure Drawing of a Man on a Stool,Gordon Bryce,NA,NA
Composition with Washing Line,Gary Ferguson,NA,NA
For They Shall See God,Jennifer M. Hughes,NA,NA
Untitled,Sheila Turnbull,NA,NA
"Acanthus Scrolls, Temple of Venus Genetrix, Rome",Unknown,NA,NA
Esme,Betty Elston,NA,NA
Works of a Strange Device: Drawing Smoke,Suzanne Priestley,NA,NA
Oranges,Jessica Gasson,NA,NA
Untitled,Kathleen Russell,NA,NA
Free Fall,Robert Adam,NA,NA
Untitled,Renny Tait,NA,NA
Portrait of a Man,Alan Kemp,NA,NA
NA,Zygmunt Bukowski,NA,NA
Benin Head,Vincent Butler,NA,NA
Portrait of a Woman,Andrew McPhee,NA,NA
Unknown,Iain Holden,NA,NA
Unknown,John Thomson,NA,NA
Unknown,William S. T. Brodie,NA,NA
Replica cast,Unknown,NA,NA
NA,Unknown,NA,NA
Large Head,Gwen W. Hardie,NA,NA
Bearded Goat,Emma Gillies,NA,NA
Abstract with Blue Stripes,Ian G. Robertson,NA,NA
Parthenon Frieze in Miniature,John Henning,NA,NA
Crying,Rachel Hill,NA,NA
Kneeling Female Nude,Andrew Conkie,NA,NA
Standing Woman,John Parnell,NA,NA
Horses from South Frieze of the Parthenon,NA,NA,NA
Unknown,Unknown,NA,NA
Replica of parthenon slab PF049,NA,NA,NA
Reclining Female Nude,Jean I. Beattie,NA,NA
Riders from the North Frieze of the Parthenon,NA,NA,NA
Unknown,Unknown,NA,NA
Untitled - Holyrood Palace,Thomas F. C. Denny,NA,NA
Unknown,Harold F Burnett,NA,NA
Untitled,Norma Kirk,NA,NA
NA,David C Duke,NA,NA
Seated Female Nude,Colin Lawson,NA,NA
"Circo Togni, Ravenna",Peter McGinn,NA,NA
Small relief with figure in clerical dress,NA,NA,NA
Unknown,Unknown,NA,NA
Untitled,Monika L. Uecher,NA,NA
Seated Male Nude,H Chart,NA,NA
John Stone,David McClure,NA,NA
Standing Male Nude,B Clapperton,NA,NA
Unknown,Mary D Thomson,NA,NA
Minotaur,Paul Duffus,NA,NA
Portrait of a Man,A Sinclair,NA,NA
15th Century Italian,Carol Binnie,NA,NA
View from a Window,Sylvia Mackiewicz,NA,NA
Jug,Emma Gillies,NA,NA
Portrait of a Man,Kirsty Ratt,NA,NA
Kneeling Male Nude,George Donald,NA,NA
Untitled,Unknown,NA,NA
Dog,James Fairgrieve,NA,NA
Untitled - Print of Figures Lying in a Garden,Ann F Ward,NA,NA
Untitled,Wilson,NA,NA
The Dive,William S. T. Brodie,NA,NA
Unknown,John Picking,NA,NA
Plate,Emma Gillies,NA,NA
Riders from South Frieze of the Parthenon,NA,NA,NA
Unknown,Ruth Walker,NA,NA
Seated Female Nude,Alexander Moffat,NA,NA
Untitled - Nude Female Sitting,Kevin Maguire,NA,NA
Standing Female Nude,D G Seymour,NA,NA
Stairway,Jean B. M. Lothian,NA,NA
Portrait of a Man,Campbell,NA,NA
Hedge Cut,John Brown,NA,NA
Seated Female Nude,Robert A Campbell,NA,NA
Teacup,Emma Gillies,NA,NA
Unknown,John W. Corner,NA,NA
Unknown,Unknown,NA,NA
Untitled,Adrian Rodriguez,NA,NA
Seated Male Nude with Blanket,W Campbell,NA,NA
Untitled,Susan Coles,NA,NA
Unnamed,Ky Ober,NA,NA
"Metope 11, south entablature, Parthenon",NA,NA,NA
Untitled,Jodie Pear,NA,NA
Untitled,Unknown,NA,NA
Unknown,Robin E. Bownass,NA,NA
Woman Seated,John P Busby,NA,NA
Untitled,Norman Orr,NA,NA
Abstract Composition in Yellow,Charles K. S. Shaw,NA,NA
Madonna of the Roses,Rachael Cawley,NA,NA
The Misadventure,John Brown,NA,NA
Seated Male Nude,J Lord,NA,NA
Standing Male Nudes,Sheila Robertson,NA,NA
Untitled - Still Life with Flowers and Pitchers,Helen Wishart,NA,NA
Portrait of a Woman,Mary Edward,NA,NA
